#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B3D28C
#Date Time: 2023-02-25 12:02:52.959
#Sample rate: 800Hz
#Samples: 8000
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 mV/div Offset: -2.615 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Sweep
#Type: Square
#Frequency: 5 Hz
#Period: 200 ms
#Amplitude: 2 V
#Offset: 2 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Disabled
#Mode: Simple
#Type: DC
#Offset: 0 V
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -1 V

#49E sensor
#Nominal sensitivity: 1.6 mV/GS
#PCB Coil Drive: 1.6A, 5Hz, full stepping
#
Time (s),Channel 1 (V)
3.45125,2.61358084420133
3.4525,2.613917847685823
3.45375,2.61358084420133
3.455,2.615265861623794
3.45625,2.612906837232345
3.4575,2.61223283026336
3.45875,2.61223283026336
3.46,2.612569833747852
3.46125,2.612906837232345
3.4625,2.613917847685823
3.46375,2.613917847685823
3.465,2.61223283026336
3.46625,2.61223283026336
3.4675,2.612569833747852
3.46875,2.614591854654809
3.47,2.614254851170316
3.47125,2.615265861623794
3.4725,2.613917847685823
3.47375,2.61223283026336
3.475,2.61223283026336
3.47625,2.612906837232345
3.4775,2.612906837232345
3.47875,2.612906837232345
3.48,2.614591854654809
3.48125,2.612906837232345
3.4825,2.61223283026336
3.48375,2.61223283026336
3.485,2.613917847685823
3.48625,2.613917847685823
3.4875,2.614591854654809
3.48875,2.614928858139301
3.49,2.612569833747852
3.49125,2.612569833747852
3.4925,2.61223283026336
3.49375,2.612569833747852
3.495,2.612906837232345
3.49625,2.614254851170316
3.4975,2.61358084420133
3.49875,2.61223283026336
3.5,2.61223283026336
3.50125,2.61358084420133
3.5025,2.614591854654809
3.50375,2.613917847685823
3.505,2.614254851170316
3.50625,2.613243840716838
3.5075,2.61223283026336
3.50875,2.61223283026336
3.51,2.612906837232345
3.51125,2.612906837232345
3.5125,2.613243840716838
3.51375,2.615602865108287
3.515,2.61223283026336
3.51625,2.61223283026336
3.5175,2.612569833747852
3.51875,2.614254851170316
3.52,2.614254851170316
3.52125,2.614591854654809
3.5225,2.613917847685823
3.52375,2.612569833747852
3.525,2.61223283026336
3.52625,2.612906837232345
3.5275,2.612569833747852
3.52875,2.612569833747852
3.53,2.614928858139301
3.53125,2.613917847685823
3.5325,2.61223283026336
3.53375,2.61223283026336
3.535,2.613917847685823
3.53625,2.613917847685823
3.5375,2.614254851170316
3.53875,2.615602865108287
3.54,2.61223283026336
3.54125,2.61223283026336
3.5425,2.61223283026336
3.54375,2.612569833747852
3.545,2.612569833747852
3.54625,2.613917847685823
3.5475,2.61358084420133
